"num";"Наименование Технологические элементы(label)";"Код Технологические элементы(value)";"Комментарии";"Используемое изображение";"Другие варианты изображения";"Готово к проду"
"84";"ConfigMap OpenShift";"CONFIGMAP_OPENSHIFT";"Настройка \ Конфигурация";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/open-shift.png?version=1&modificationDate=1632234841028&api=v2"";""Image"")";;
"85";"Confluence";"CONFLUENCE";"Обслуживание / поддержка \ Прочее";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/support_confluence.jpg?version=1&modificationDate=1632235014141&api=v2"";""Image"")";;
"86";"Couchbase";"COUCHBASE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_couchbase.png?version=1&modificationDate=1632235160209&api=v2"";""Image"")";;
"87";"CouchDB";"COUCHDB";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_couchdb.png?version=1&modificationDate=1632235453470&api=v2"";""Image"")";;
"88";"CryptoPro";"CRYPTOPRO";"Клиентская часть \ Plug-in (клиентский)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/cryptopro.jpg?version=1&modificationDate=1632235575716&api=v2"";""Image"")";;
"89";"Daemon";"DAEMON";"Фоновый процесс / демон";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/_daemon.jpg?version=1&modificationDate=1632235839478&api=v2"";""Image"")";;
"90";"Datastax Enterprise";"DATASTAX_ENTERPRISE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_datastax.png?version=1&modificationDate=1632298243837&api=v2"";""Image"")";;
"91";"dBASE";"DBASE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_dbase.png?version=1&modificationDate=1632298378581&api=v2"";""Image"")";;
"92";"Derby";"DERBY";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_derby.png?version=1&modificationDate=1632298512683&api=v2"";""Image"")";;
"93";"Ehcache";"EHCACHE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_ehcache.png?version=1&modificationDate=1632298724602&api=v2"";""Image"")";;
"94";"Elasticsearch";"ELASTICSEARCH";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_elasticsearch.png?version=2&modificationDate=1632298989223&api=v2"";""Image"")";;
